711,1110,1344,1196,1342,1215,709,1129,text
1342,1188,1362,1190,1362,1205,1342,1203,text
2,763,76,765,76,783,2,781,no_text
347,570,427,558,432,590,352,602,text
348,621,447,609,450,631,351,643,text
327,657,446,643,448,662,329,676,text
329,690,398,684,400,704,331,710,text
909,820,1130,811,1132,857,911,866,text
888,740,1153,726,1155,770,890,784,text
926,660,1099,646,1102,686,929,700,text
938,579,1078,565,1083,608,943,622,text
941,504,1072,483,1078,524,947,545,text
949,428,1060,409,1067,449,956,468,text
854,357,1157,294,1167,340,864,403,text
865,291,1138,221,1149,262,876,332,text
907,204,1083,159,1093,198,917,243,text
825,166,1178,52,1190,89,837,203,text
