1466,536,1682,544,1680,598,1464,590,text
1480,597,1668,607,1668,621,1480,611,text
1041,532,1211,544,1209,574,1039,562,text
1037,563,1215,573,1214,591,1036,581,text
1214,526,1288,528,1286,593,1212,591,text
1288,564,1327,566,1326,586,1287,584,text
1252,576,1308,586,1305,605,1249,595,text
775,527,982,518,984,571,777,580,text
785,583,965,575,965,592,785,600,text
393,570,506,562,508,597,395,605,text
394,610,503,598,505,614,396,626,text
502,546,587,538,593,602,508,610,text
578,574,599,576,595,607,574,605,text
531,591,573,595,571,621,529,617,text
