211,486,435,478,436,509,212,517,text
396,643,445,647,443,665,394,661,text
502,642,568,644,568,661,502,659,text
782,607,949,611,949,634,782,630,text
1284,466,1516,470,1516,513,1284,509,text
1297,547,1551,543,1551,570,1297,574,text
66,853,161,851,161,869,66,871,text
200,844,339,840,339,862,200,866,text
83,882,128,880,128,895,83,897,text
231,877,290,875,290,896,231,898,text
76,909,117,911,115,930,74,928,text
212,905,292,905,292,924,212,924,text
383,841,486,845,486,864,383,860,text
557,840,640,840,640,862,557,862,text
405,871,449,873,448,891,404,889,text
563,875,626,873,626,892,563,894,text
402,899,443,903,441,922,400,918,text
546,899,632,901,632,921,546,919,text
714,844,818,844,818,863,714,863,text
881,842,987,846,987,867,881,863,text
741,872,786,872,786,890,741,890,text
907,874,966,876,966,896,907,894,text
741,899,785,901,785,920,741,918,text
891,899,978,903,978,921,891,917,text
1052,846,1157,850,1157,868,1052,864,text
1085,875,1131,877,1131,894,1085,892,text
1088,903,1132,905,1132,923,1088,921,text
1213,846,1329,848,1329,869,1213,867,text
1250,879,1307,877,1307,899,1250,901,text
1240,905,1327,907,1327,925,1240,923,text
1389,851,1498,849,1498,868,1389,870,text
1553,845,1664,843,1664,866,1553,868,text
1430,877,1475,879,1474,899,1429,897,text
1593,881,1652,875,1654,898,1595,904,text
1435,908,1481,910,1481,927,1435,925,text
1588,905,1674,905,1674,927,1588,927,text
