12,941,222,475,350,532,140,998,text
198,940,393,379,536,429,341,990,text
392,946,513,409,552,418,431,955,text
456,946,523,633,556,640,489,953,text
979,368,1455,384,1453,461,977,445,text
987,456,1662,468,1660,563,985,551,text
999,560,1678,570,1678,599,999,589,text
1003,599,1365,609,1365,636,1003,626,text
2,1004,407,1008,407,1017,2,1013,no_text
2,1024,398,1030,398,1042,2,1036,no_text
2,1129,387,1117,387,1127,2,1139,no_text
1,1148,395,1138,395,1149,1,1159,no_text
43,1157,436,1151,436,1159,43,1165,no_text
66,1171,451,1159,451,1169,66,1181,no_text
82,1186,458,1174,458,1182,82,1194,no_text
92,1200,464,1190,464,1201,92,1211,no_text
961,1120,1360,1104,1360,1115,961,1131,no_text
1018,1130,1349,1146,1349,1155,1018,1139,no_text
1263,1118,1366,1118,1366,1125,1263,1125,no_text
