495,1020,698,1024,698,1051,495,1047,text
946,1175,1023,1177,1023,1200,946,1198,text
1022,1168,1095,1168,1095,1197,1022,1197,text
886,782,1091,782,1091,825,886,825,text
1028,1156,1089,1154,1089,1175,1028,1177,no_text
1258,920,1399,922,1399,949,1258,947,text
1257,950,1389,948,1389,984,1257,986,text
1263,545,1428,535,1432,619,1267,629,text
1435,574,1567,570,1569,612,1437,616,text
915,421,1053,419,1053,462,915,464,text
827,338,1136,338,1136,407,827,407,text
1021,19,1298,15,1298,57,1021,61,text
1347,149,1608,149,1608,209,1347,209,text
1397,211,1564,213,1564,250,1397,248,text
493,492,757,490,757,524,493,526,text
590,539,652,535,652,553,590,557,text
564,571,683,569,683,588,564,590,text
