1107,576,1287,541,1297,593,1117,628,text
1036,653,1292,609,1299,650,1043,694,text
747,649,881,627,889,673,755,695,no_text
745,708,939,678,945,714,751,744,no_text
139,675,670,837,652,897,121,735,text
332,850,507,898,495,942,320,894,text
555,902,569,906,564,923,550,919,text
610,919,732,948,727,967,605,938,text
606,955,745,987,742,1001,603,969,text
601,981,721,1009,718,1023,598,995,text
599,1012,711,1032,709,1047,597,1027,text
660,1046,738,1060,735,1075,657,1061,text
605,1058,653,1066,650,1081,602,1073,text
585,1106,660,1114,657,1139,582,1131,text
582,1146,697,1156,695,1178,580,1168,text
578,1176,673,1184,671,1205,576,1197,text
575,1206,724,1214,723,1235,574,1227,text
582,1237,627,1241,625,1262,580,1258,text
