726,102,1132,122,1127,214,721,194,text
1187,122,1552,134,1549,226,1184,214,text
839,716,1477,708,1479,828,841,836,no_text
1411,947,1518,941,1521,999,1414,1005,text
313,28,518,38,516,88,311,78,text
303,78,506,86,504,120,301,112,text
616,376,1405,400,1401,519,612,495,text
1135,561,1349,559,1349,618,1135,620,text
229,1100,861,1082,862,1110,230,1128,text
896,1082,1309,1066,1310,1091,897,1107,text
231,1134,956,1114,957,1143,232,1163,text
229,1166,645,1156,645,1188,229,1198,text
229,1226,658,1212,659,1242,230,1256,text
544,968,589,964,591,984,546,988,no_text
542,992,595,988,595,1001,542,1005,no_text
