436,1034,490,1010,499,1032,445,1056,no_text
442,1058,489,1041,494,1053,447,1070,no_text
1075,1171,1116,1165,1119,1188,1078,1194,no_text
61,969,102,967,102,979,61,981,no_text
726,1159,872,1132,883,1192,737,1219,no_text
829,1214,863,1211,867,1245,833,1248,text
600,396,791,449,781,485,590,432,text
605,446,692,466,687,487,600,467,text
608,518,732,541,724,583,600,560,text
608,564,790,601,785,624,603,587,text
613,642,744,662,737,707,606,687,text
615,698,727,712,724,738,612,724,text
1312,767,1393,781,1388,812,1307,798,text
1319,806,1371,818,1368,834,1316,822,no_text
973,509,1063,534,1055,563,965,538,text
978,548,1088,575,1083,596,973,569,text
