824,656,844,659,842,672,822,669,no_text
146,493,534,479,536,525,148,539,text
148,544,530,534,530,553,148,563,text
162,585,505,585,505,626,162,626,text
199,632,460,632,460,654,199,654,text
263,674,381,676,381,722,263,720,text
393,687,503,693,501,735,391,729,text
1119,125,1544,55,1550,91,1125,161,text
1122,167,1449,116,1453,141,1126,192,text
1067,363,1538,323,1543,381,1072,421,text
1065,414,1432,394,1434,428,1067,448,text
1070,544,1548,536,1548,589,1070,597,text
1068,603,1526,601,1526,633,1068,635,text
1062,719,1232,723,1232,759,1062,755,text
1066,766,1166,770,1165,802,1065,798,text
1352,742,1540,744,1540,780,1352,778,text
