1115,95,1148,94,1160,551,1127,552,text
1169,83,1304,79,1320,546,1185,550,text
1010,641,1343,625,1345,658,1012,674,text
1013,681,1334,665,1335,683,1014,699,text
1010,727,1312,715,1314,753,1012,765,text
1010,769,1358,753,1359,772,1011,788,text
1012,822,1199,814,1201,850,1014,858,text
1011,861,1210,853,1210,871,1011,879,text
1013,916,1149,914,1149,949,1013,951,text
1008,954,1143,950,1143,969,1008,973,text
1012,1014,1192,1010,1192,1048,1012,1052,text
1008,1054,1187,1050,1187,1069,1008,1073,text
1012,1117,1234,1113,1234,1149,1012,1153,text
1010,1155,1174,1153,1174,1173,1010,1175,text
